#  Trump, Clinton, Johnson, Stein, McMullin
AL,9,1318255,729547,44467,9391,0
AK,3,163387,116454,18725,5735,0
AZ,11,1252401,1161167,106327,34345,17449
AR,6,684872,380494,29829,9473,13255
CA,55,4483810,8753788,478499,278657,7194
CO,9,1202484,1338870,144121,38437,28917
CT,7,673197,897524,48672,22841,2108
DE,3,185127,235603,14757,6103,706
DC,3,12723,282830,4906,4258,0
FL,29,4617886,4504975,207043,64399,0
GA,16,2089104,1877963,125306,7674,13017
HI,4,128847,266891,15954,12737,0
ID,4,409055,189765,28331,8496,46476
IL,20,2146015,3090729,209596,76802,11655
IN,11,1557286,1033126,133993,7841,0
IA,6,800983,653669,59186,11479,12366
KS,6,671018,427005,55406,23506,6520
KY,8,1202971,628854,53752,13913,22780
LA,8,1178638,780154,37978,14031,8547
ME,4,335593,357735,38105,14251,1887
MD,10,943169,1677928,79605,35945,9630
MA,11,1090893,1995196,138018,47661,2719
MI,16,2279543,2268839,172136,51463,8177
MN,10,1322951,1367716,112972,36985,53076
MS,6,700714,485131,14435,3731,0
MO,10,1594511,1071068,97359,25419,7071
MT,3,279240,177709,28037,7970,2297
NE,5,495961,284494,38946,8775,0
NV,6,512058,539260,37384,0,0
NH,4,345790,348526,30777,6496,1064
NJ,14,1601933,2148278,72477,37772,0
NM,5,319666,385234,74541,9879,5825
NY,29,2819534,4556124,176598,107934,10373
NC,15,2362632,2189322,130127,12105,0
ND,3,216794,93758,21434,3780,0
OH,18,2841005,2394164,174498,46271,12574
OK,7,949136,420375,83481,0,0
OR,7,782403,1002106,94231,50002,0
PA,20,2970733,2926441,146715,49941,6472
RI,4,180543,252525,14746,6220,516
SC,9,1155389,855373,49204,13034,21016
SD,3,227721,117458,20850,0,0
TN,11,1522925,870695,70397,15993,11991
TX,38,4685047,3877868,283492,71558,42366
UT,6,515231,310676,39608,9438,243690
VT,3,95369,178573,10078,6758,639
VA,13,1769443,1981473,118274,27638,54054
WA,12,1221747,1742718,160879,58417,0
WV,5,489371,188794,23004,8075,1104
WI,10,1405284,1382536,106674,31072,11855
WY,3,174419,55973,13287,2515,0
